iter	Passed	Remaining
418	2813	3901
419	2819	3893
420	2825	3886
421	2831	3877
422	2836	3868
423	2841	3859
424	2846	3851
425	2852	3844
426	2857	3834
427	2863	3826
428	2868	3818
429	2874	3810
430	2880	3802
431	2886	3795
432	2891	3786
433	2897	3779
434	2903	3770
435	2908	3762
436	2913	3753
437	2918	3745
438	2924	3737
439	2929	3728
440	2934	3720
441	2940	3712
442	2945	3703
443	2951	3695
444	2957	3688
445	2963	3681
446	2969	3673
447	2975	3666
448	2981	3658
449	2986	3650
450	2992	3642
451	2998	3635
452	3004	3628
453	3010	3620
454	3016	3612
455	3022	3605
456	3028	3598
457	3034	3590
458	3039	3583
459	3046	3575
460	3052	3568
461	3057	3560
462	3063	3553
463	3069	3546
464	3076	3539
465	3081	3530
466	3086	3522
467	3092	3515
468	3097	3507
469	3103	3499
470	3109	3492
471	3115	3484
472	3121	3477
473	3127	3470
474	3132	3462
475	3138	3454
476	3143	3447
477	3149	3439
478	3154	3431
479	3160	3423
480	3165	3415
481	3170	3407
482	3176	3400
483	3181	3392
484	3187	3384
485	3192	3376
486	3197	3368
487	3204	3362
488	3209	3354
489	3215	3346
490	3221	3339
491	3227	3332
492	3233	3325
493	3239	3318
494	3245	3310
495	3251	3303
496	3256	3296
497	3263	3289
498	3269	3282
499	3275	3275
500	3281	3268
501	3287	3261
502	3294	3255
503	3301	3248
504	3307	3241
505	3312	3234
506	3319	3228
507	3325	3220
508	3332	3214
509	3338	3207
510	3343	3199
511	3350	3193
512	3355	3185
513	3361	3178
514	3367	3171
515	3372	3163
516	3378	3156
517	3384	3149
518	3390	3142
519	3397	3136
520	3404	3129
521	3409	3122
522	3416	3115
523	3423	3109
524	3430	3103
525	3435	3096
526	3441	3089
527	3449	3083
528	3454	3075
529	3461	3069
530	3467	3062
531	3473	3055
532	3480	3049
533	3486	3042
534	3493	3036
535	3499	3029
536	3505	3022
537	3512	3016
538	3518	3008
539	3524	3001
540	3530	2995
541	3537	2989
542	3544	2982
543	3549	2975
544	3554	2967
545	3561	2961
546	3567	2954
547	3573	2947
548	3580	2941
549	3587	2935
550	3593	2928
551	3599	2921
552	3605	2914
553	3611	2907
554	3618	2901
555	3623	2893
556	3629	2886
557	3635	2879
558	3642	2873
559	3648	2866
560	3655	2860
561	3662	2854
562	3668	2847
563	3675	2841
564	3682	2835
565	3688	2828
566	3695	2822
567	3702	2816
568	3708	2809
569	3714	2802
570	3721	2795
571	3728	2789
572	3735	2783
573	3741	2776
574	3748	2770
575	3755	2764
576	3762	2758
577	3770	2752
578	3776	2746
579	3784	2740
580	3791	2734
581	3798	2727
582	3803	2720
583	3811	2715
584	3818	2709
585	3826	2703
586	3833	2697
587	3839	2690
588	3847	2684
589	3853	2677
590	3859	2670
591	3866	2664
592	3873	2658
593	3881	2652
594	3890	2647
595	3897	2641
596	3903	2635
597	3910	2628
598	3917	2622
599	3922	2615
600	3928	2608
601	3933	2600
602	3940	2594
603	3946	2587
604	3953	2581
605	3960	2574
606	3966	2568
607	3972	2561
608	3978	2554
609	3984	2547
610	3990	2540
611	3996	2533
612	4002	2526
613	4008	2519
614	4015	2513
615	4021	2506
616	4027	2500
617	4034	2493
618	4040	2487
619	4046	2480
620	4053	2473
621	4058	2466
622	4065	2460
623	4071	2453
624	4078	2447
625	4084	2440
626	4090	2433
627	4096	2426
628	4103	2420
629	4108	2413
630	4114	2406
631	4119	2398
632	4125	2391
633	4130	2384
634	4136	2377
635	4142	2370
636	4148	2364
637	4154	2357
638	4159	2350
639	4165	2343
640	4173	2337
641	4179	2330
642	4186	2324
643	4194	2318
644	4201	2312
645	4208	2306
646	4214	2299
647	4221	2293
648	4227	2286
649	4234	2280
650	4241	2273
651	4247	2267
652	4254	2260
653	4260	2253
654	4267	2247
655	4274	2241
656	4280	2234
657	4286	2227
658	4292	2221
659	4298	2214
660	4304	2207
661	4310	2200
662	4316	2194
663	4322	2187
664	4328	2180
665	4334	2173
666	4341	2167
667	4348	2161
668	4355	2154
669	4361	2148
670	4367	2141
671	4373	2134
672	4380	2128
673	4386	2121
674	4393	2115
675	4399	2108
676	4406	2102
677	4413	2095
678	4419	2089
679	4425	2082
680	4431	2075
681	4437	2069
682	4443	2062
683	4449	2055
684	4456	2049
685	4462	2042
686	4468	2035
687	4475	2029
688	4480	2022
689	4486	2015
690	4493	2009
691	4499	2002
692	4505	1996
693	4512	1989
694	4518	1982
695	4524	1976
696	4530	1969
697	4536	1962
698	4542	1956
699	4549	1949
700	4555	1943
701	4561	1936
702	4568	1930
703	4575	1923
704	4580	1916
705	4586	1910
706	4592	1903
707	4598	1896
708	4604	1889
709	4611	1883
710	4617	1876
711	4624	1870
712	4630	1863
713	4637	1857
714	4643	1850
715	4649	1844
716	4656	1838
717	4662	1831
718	4669	1825
719	4676	1818
720	4682	1811
721	4688	1805
722	4694	1798
723	4701	1792
724	4707	1785
725	4712	1778
726	4719	1772
727	4725	1765
728	4731	1758
729	4737	1752
730	4743	1745
731	4749	1738
732	4755	1732
733	4762	1725
734	4768	1719
735	4776	1713
736	4782	1706
737	4787	1699
738	4794	1693
739	4800	1686
740	4806	1679
741	4812	1673
742	4818	1666
743	4825	1660
744	4830	1653
745	4837	1647
746	4843	1640
747	4850	1634
748	4857	1627
749	4864	1621
750	4870	1614
751	4876	1608
752	4883	1601
753	4889	1595
754	4895	1588
755	4901	1581
756	4906	1575
757	4913	1568
758	4919	1561
759	4924	1555
760	4930	1548
761	4937	1542
762	4942	1535
763	4948	1528
764	4955	1522
765	4961	1515
766	4967	1509
767	4973	1502
768	4978	1495
769	4984	1489
770	4990	1482
771	4996	1475
772	5003	1469
773	5009	1462
774	5016	1456
775	5022	1449
776	5028	1443
777	5035	1436
778	5042	1430
779	5049	1424
780	5056	1417
781	5062	1411
782	5069	1405
783	5076	1398
784	5083	1392
785	5088	1385
786	5096	1379
787	5102	1372
788	5109	1366
789	5115	1359
790	5121	1353
791	5127	1346
792	5133	1340
793	5139	1333
794	5145	1326
795	5152	1320
796	5159	1314
797	5166	1307
798	5172	1301
799	5177	1294
800	5183	1287
801	5188	1280
802	5194	1274
803	5200	1267
804	5206	1261
805	5212	1254
806	5218	1248
807	5225	1241
808	5231	1235
809	5237	1228
810	5243	1221
811	5250	1215
812	5256	1208
813	5262	1202
814	5268	1195
815	5274	1189
816	5281	1182
817	5287	1176
818	5293	1169
819	5299	1163
820	5305	1156
821	5312	1150
822	5318	1143
823	5324	1137
824	5330	1130
825	5336	1124
826	5342	1117
827	5348	1110
828	5354	1104
829	5360	1097
830	5366	1091
831	5372	1084
832	5377	1078
