iter	Logloss
0	0.6930708096
1	0.692959598
2	0.692877148
3	0.692779016
4	0.6927254955
5	0.6926741528
6	0.6926047541
7	0.692559533
8	0.6924648211
9	0.6924347541
10	0.6923530486
11	0.6922538085
12	0.6921922118
13	0.6920843986
14	0.6919812847
15	0.6919094802
16	0.6918102566
17	0.6917317568
18	0.6916604382
19	0.6916007012
20	0.6914814727
21	0.6913718686
22	0.6913395042
23	0.6912998433
24	0.6912482551
25	0.6911695254
26	0.6911224168
27	0.6910425368
28	0.6909343047
29	0.6908802871
30	0.6907753614
31	0.6906961274
32	0.6906074368
33	0.6905188413
34	0.6904661061
35	0.6904209146
36	0.6904182887
37	0.6903821496
38	0.6903576391
39	0.6902500396
40	0.6901998709
41	0.690086894
42	0.6900483591
43	0.6899591371
44	0.6898954246
45	0.6897768439
46	0.6897002748
47	0.6896460534
48	0.6895556257
49	0.6894708317
50	0.6893912503
51	0.6893555517
52	0.6893205193
53	0.6892353021
54	0.6891822776
55	0.6890736669
56	0.6890330733
57	0.6890129203
58	0.6889938514
59	0.6889051909
60	0.6888533264
61	0.6888452696
62	0.6887655998
63	0.6887005333
64	0.6886572606
65	0.688644774
66	0.6886034645
67	0.6885559142
68	0.6884847731
69	0.6884156441
70	0.6883579163
71	0.6883120842
72	0.6882421942
73	0.6881406536
74	0.688092216
75	0.6880896321
76	0.6880531716
77	0.6879551215
78	0.6878602321
79	0.6878052933
80	0.6877184215
81	0.6876588113
82	0.6875777511
83	0.6874869113
84	0.6874338098
85	0.6873513381
86	0.6872860249
87	0.6872060251
88	0.6871313857
89	0.6871076029
90	0.6870305317
91	0.6869633683
92	0.6868772359
93	0.6868716663
94	0.6868453576
95	0.6867866305
96	0.6867088662
97	0.6866412346
98	0.6865890161
99	0.6865203374
100	0.6864564165
101	0.6863845004
102	0.6862815152
103	0.6862456911
104	0.6862135523
105	0.6861380156
106	0.686099895
107	0.6860402088
108	0.6859993568
109	0.6859255608
110	0.685865805
111	0.6858265559
112	0.6857990016
113	0.6857503355
114	0.6856680927
115	0.6856043156
116	0.6855574435
117	0.6854892889
118	0.6854099673
119	0.6853314093
120	0.6852935483
121	0.6852936892
122	0.6852809581
123	0.6851970796
124	0.6851332638
125	0.6850729266
126	0.6850038011
127	0.6849327659
128	0.684881831
129	0.6848324653
130	0.6847931029
131	0.684711648
